,FECHA,FRECUENCIA
0,2023-12-05,116
1,2023-12-06,0
2,2023-12-07,10
3,2023-12-08,0
4,2023-12-09,0
5,2023-12-10,0
6,2023-12-11,30
7,2023-12-12,0
8,2023-12-13,0
9,2023-12-14,0
10,2023-12-15,0
11,2023-12-16,0
12,2023-12-17,0
13,2023-12-18,13
14,2023-12-19,0
15,2023-12-20,0
16,2023-12-21,0
17,2023-12-22,0
18,2023-12-23,0
19,2023-12-24,0
20,2023-12-25,0
21,2023-12-26,0
22,2023-12-27,0
23,2023-12-28,0
24,2023-12-29,0
25,2023-12-30,0
26,2023-12-31,0
27,2024-01-01,0
28,2024-01-02,0
29,2024-01-03,1
30,2024-01-04,0
31,2024-01-05,0
32,2024-01-06,0
33,2024-01-07,0
34,2024-01-08,0
35,2024-01-09,0
36,2024-01-10,0
37,2024-01-11,0
38,2024-01-12,0
39,2024-01-13,0
40,2024-01-14,0
41,2024-01-15,0
42,2024-01-16,0
43,2024-01-17,8
44,2024-01-18,6
45,2024-01-19,0
46,2024-01-20,33
47,2024-01-21,0
